LoanNumber,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,OriginatingLender,ForgivenessAmount,Zip,combined_borrower_address,location,point,latitude,longitude,altitude
7113937109,1256 S BARNES AVE,SPRINGFIELD,MO,65804-0406,SPRINGFIELD,GREENE,MO,65804-0406,Simmons Bank,1173836.99,65804,1256 s barnes ave springfield mo 65804,"1256, South Barnes Avenue, Oak Grove, Springfield, Greene County, Missouri, 65804, United States","(37.19104929094525, -93.25297018936203, 0.0)",37.19104929094525,-93.25297018936203,0.0
6792907107,300 RAMSEY DR,SULLIVAN,MO,63080-1456,SULLIVAN,FRANKLIN,MO,63080-1456,Commerce Bank,1173606.82,63080,300 ramsey dr sullivan mo 63080,"300, Ramsey Drive, Sullivan, Franklin County, Missouri, 63080, United States","(38.206594, -91.167514, 0.0)",38.206594,-91.167514,0.0
4844247005,1855 S Ingram Mill Road,SPRINGFIELD,MO,65804-2100,SPRINGFIELD,GREENE,MO,65804-2100,Legacy Bank & Trust Company,1177842.98,65804,1855 s ingram mill rd springfield mo 65804,"1855, South Ingram Mill Road, Southern Hills, Springfield, Greene County, Missouri, 65804, United States","(37.17855148704294, -93.22598824958668, 0.0)",37.17855148704294,-93.22598824958668,0.0
7782057200,971 Premier Dr.,KEARNEY,MO,64060-7975,KEARNEY,CLAY,MO,64060-7975,The Central Trust Bank,1178890.48,64060,971 premier dr kearney mo 64060,"971, Premier Drive, Kearney, Clay County, Missouri, 64060, United States","(39.37205933278254, -94.37809712350251, 0.0)",39.37205933278254,-94.37809712350251,0.0
5574037005,2032 S ELLIOTT AVE,AURORA,MO,65605-9618,AURORA,LAWRENCE,MO,65605-9618,Arvest Bank,1159135.24,65605,2032 s elliott ave aurora mo 65605,"2032, South Elliott Avenue, Aurora, Lawrence County, Missouri, 65605, United States","(36.95160442857143, -93.71835757142857, 0.0)",36.95160442857143,-93.71835757142857,0.0
7216028302,204 Charlann Schwann Pkwy,Canton,MO,63435-1513,Canton,LEWIS,MO,63435-1513,Bank of Monticello,1164165.02,63435,204 charlann schwann pkwy canton mo 63435,,,,,
7487258303,47 Caprice Dr,Chesterfield,MO,63005-1309,Chesterfield,SAINT LOUIS,MO,63005-1309,St. Johns Bank and Trust Company,1162601.24,63005,47 caprice dr chesterfield mo 63005,"47, Caprice Drive, Chesterfield, Saint Louis County, Missouri, 63005, United States","(38.6694612, -90.6156287, 0.0)",38.6694612,-90.6156287,0.0
9636087003,101 LOVE ST,AUXVASSE,MO,65231-1648,AUXVASSE,CALLAWAY,MO,65231-1648,The Central Trust Bank,1169194.0,65231,101 love st auxvasse mo 65231,"101, Love Street, Auxvasse, Callaway County, Missouri, 65231, United States","(39.024153, -91.896681, 0.0)",39.024153,-91.896681,0.0
9806257010,302 Messanie,SAINT JOSEPH,MO,64501,SAINT JOSEPH,BUCHANAN,MO,64501-1001,Commerce Bank,1167214.51,64501,302 messanie saint joseph mo 64501,"302, Messanie Street, St. Joseph, Buchanan County, Missouri, 64501, United States","(39.762313000000006, -94.85639649855733, 0.0)",39.762313000000006,-94.85639649855733,0.0
4344528300,1818 Old State Road M,Barnhart,MO,63012-1213,Barnhart,JEFFERSON,MO,63012-1213,Midwest Regional Bank,1163026.25,63012,1818 old state rd m barnhart mo 63012,,,,,
7350837009,1818 Old State Road M,BARNHART,MO,63012,BARNHART,JEFFERSON,MO,63012-0001,Midwest Regional Bank,1166273.4,63012,1818 old state rd m barnhart mo 63012,,,,,
2455107104,11503 SAINT CHARLES ROCK RD,BRIDGETON,MO,63044-2726,BRIDGETON,SAINT LOUIS,MO,63044-2726,Ally Bank,1170543.35,63044,11503 saint charles rock rd bridgeton mo 63044,"11503, Saint Charles Rock Road, Pattonville, Bridgeton, Saint Louis County, Missouri, 63044, United States","(38.7431222, -90.4059692, 0.0)",38.7431222,-90.4059692,0.0
5851237005,16091 swingley ridge road,CHESTERFIELD,MO,63017-2024,CHESTERFIELD,SAINT LOUIS,MO,63017-2024,Lindell Bank & Trust Company,1163695.93,63017,16091 swingley ridge rd chesterfield mo 63017,"16091, Swingley Ridge Road, Chesterfield, Saint Louis County, Missouri, 63017, United States","(38.6547319, -90.5555541, 0.0)",38.6547319,-90.5555541,0.0
5196828309,11228 Lone Eagle Dr,Bridgeton,MO,63044-2739,Bridgeton,SAINT LOUIS,MO,63044-2739,Bank of Washington,1163017.18,63044,11228 lone eagle dr bridgeton mo 63044,"Crowne Plaza St. Louis Airport, 11228, Lone Eagle Drive, Pattonville, Bridgeton, Saint Louis County, Missouri, 63044, United States","(38.7411473, -90.39756707529537, 0.0)",38.7411473,-90.39756707529537,0.0
5450387003,8140 Ward Parkway Suite 440,KANSAS CITY,MO,64114-2006,KANSAS CITY,JACKSON,MO,64114-2006,Commerce Bank,1170647.59,64114,8140 ward parkway ste 440 kansas city mo 64114,,,,,
1630967108,1815 E  63RD ST,KANSAS CITY,MO,64130-3436,KANSAS CITY,JACKSON,MO,64130-3436,Arvest Bank,1170820.61,64130,1815 e 63rd st kansas city mo 64130,"1815, East 63rd Street, South Town Fork Creek, Kansas City, Jackson County, Missouri, 64130, United States","(39.01275736912752, -94.56444424161074, 0.0)",39.01275736912752,-94.56444424161074,0.0
6790797009,800 N 17TH ST,SAINT LOUIS,MO,63106-3730,SAINT LOUIS,SAINT LOUIS CITY,MO,63106-3730,"Peoples National Bank, National Association",1165822.95,63106,800 n 17th st saint louis mo 63106,"800, North 17th Street, Downtown West, St. Louis, Missouri, 63106, United States","(38.635258, -90.202425, 0.0)",38.635258,-90.202425,0.0
4701047007,1598 Imperial CTR STE 2008,WEST PLAINS,MO,65775-1800,WEST PLAINS,HOWELL,MO,65775-1800,Springfield First Community Bank,1161619.42,65775,1598 imperial ctr ste 2008 west plains mo 65775,,,,,
8798827009,9225 Watson Industrial Park,SAINT LOUIS,MO,63119,SAINT LOUIS,SAINT LOUIS,MO,63119-0798,Carrollton Bank,1163658.85,63119,9225 watson industrial park saint louis mo 63119,"9225, Watson Industrial Park, Crestwood, Saint Louis County, Missouri, 63126, United States","(38.56117564811368, -90.37282374416091, 0.0)",38.56117564811368,-90.37282374416091,0.0
1406597110,"3039 Troost, Kansas City",Kansas City,MO,64109,Kansas City,JACKSON,MO,64109-1100,CommunityAmerica CU,1163685.15,64109,3039 troost kansas city kansas city mo 64109,"3039, Troost Avenue, Longfellow, Kansas City, Jackson County, Missouri, 64109, United States","(39.07157404081633, -94.57115608163265, 0.0)",39.07157404081633,-94.57115608163265,0.0
4612767009,775 Brasilia Ave,KANSAS CITY,MO,64153-1153,KANSAS CITY,PLATTE,MO,64153-1153,Union Bank and Trust Company,1160844.42,64153,775 brasilia ave kansas city mo 64153,"Kansas City Airport Marriott, 775, North Brasilia Avenue, Kansas City, Platte County, Missouri, 64153, United States","(39.309781099999995, -94.71369486422135, 0.0)",39.309781099999995,-94.71369486422135,0.0
3973458508,254 Hanley Industrial Ct,Saint Louis,MO,63144-1508,Saint Louis,SAINT LOUIS,MO,63144-1508,Regions Bank,1153875.34,63144,254 hanley industrial ct saint louis mo 63144,"254, Hanley Industrial Court, Brentwood, Saint Louis County, Missouri, 63144, United States","(38.62098236205893, -90.3368331462659, 0.0)",38.62098236205893,-90.3368331462659,0.0
